example_id                                                  | status  | run_time        |
----------------------------------------------------------- | ------- | --------------- |
./spec/features/user_creates_new_listing_spec.rb[1:1]       | passed  | 0.04233 seconds |
./spec/features/user_creates_new_listing_spec.rb[1:2]       | passed  | 0.08588 seconds |
./spec/features/user_navigates_to_product_page_spec.rb[1:1] | passed  | 0.03864 seconds |
./spec/features/user_navigates_to_product_page_spec.rb[1:2] | passed  | 0.21649 seconds |
./spec/features/user_navigates_to_product_page_spec.rb[1:3] | passed  | 0.11449 seconds |
./spec/helpers/listings_helper_spec.rb[1:1]                 | pending | 0.00003 seconds |
./spec/models/listing_spec.rb[1:1]                          | passed  | 0.00574 seconds |
./spec/models/listing_spec.rb[1:2]                          | passed  | 0.00498 seconds |
./spec/models/listing_spec.rb[1:3]                          | passed  | 0.02534 seconds |
